,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
1070,1,1513,36,14,35,27,8,6,3265,3,0,0,0,498012,74599,393500,29910,989,74906,12441,56208,6254,23694,4,50225,35831,67,69,70778,19183,48852,2741,50398,42400,2,503,130,60,48,999,66,1,30,1,1,1,1,0,0,0,2,0,2,0
1071,0,1513,14,36,10,10,6,3,2577,1,0,0,0,270987,66403,190464,14116,285,45613,17033,25838,2741,18659,9,58555,13439,42,57,94194,13670,74268,6253,33503,29683,0,354,92,65,0,597,57,0,26,1,0,0,0,0,1,0,0,0,1,0
1072,1,2041,36,27,36,17,5,6,3348,2,0,0,0,706227,35182,605494,65545,1602,91191,12306,69847,9035,38348,7,81506,65406,108,81,113284,39204,70379,3694,64272,57775,1,672,183,121,12,967,79,3,47,11,0,1,1,1,1,0,1,1,3,0
1073,0,2041,27,36,35,11,8,7,3555,2,1,0,0,692940,187059,456878,49000,513,83553,37424,42429,3696,24963,7,71823,34747,179,89,115427,15051,91075,9295,59839,56233,0,695,181,130,13,363,74,11,71,15,1,0,0,0,0,1,0,0,1,1
1074,1,1468,27,13,26,20,7,4,4092,3,0,0,0,555092,25139,486467,43482,494,71059,8700,58200,4156,34152,9,58064,48958,104,75,80669,21285,58126,1253,49279,43658,2,488,175,105,28,854,65,8,52,3,1,1,1,0,1,1,2,0,3,2
1075,0,1468,12,27,14,3,4,2,2648,1,0,0,0,332186,87833,227024,17327,1623,50033,19813,28962,1255,25885,12,76780,9763,61,81,90585,9948,76477,4155,34703,33640,0,373,80,63,0,1022,57,4,31,4,0,0,0,0,0,0,0,0,0,0
1076,1,2247,30,19,45,16,8,7,3815,3,0,0,0,965646,268218,607622,89801,781,101864,48824,45886,7148,33316,8,112117,84930,188,156,124103,41384,78295,4417,70215,61475,2,755,246,150,34,2134,84,20,73,21,1,1,1,0,1,0,2,1,5,0
1077,0,2247,19,30,33,8,7,4,3074,3,0,0,0,849471,236264,574881,38323,519,94995,38870,51703,4419,49464,11,88574,30103,175,113,134447,51866,75298,7276,61437,58275,0,753,217,145,23,992,80,9,57,26,0,0,0,1,0,0,0,1,0,0
1078,1,2091,57,43,71,19,9,14,2487,5,0,0,0,777525,267031,426437,84053,544,137619,50850,67933,18831,51089,7,147548,65133,129,162,180715,41775,120695,18241,79052,71155,5,669,174,116,16,1080,87,11,53,17,0,0,1,1,0,0,5,1,2,0
1079,0,2091,43,58,48,13,6,12,2131,1,0,0,0,874152,154248,641769,78131,769,144821,37529,90047,17242,42158,6,124463,47068,148,133,175688,51454,104793,19436,71886,65711,0,712,179,114,15,1365,84,13,60,17,1,1,0,0,1,0,0,0,3,0
